Ticker,Crypto Stack,Sector,Industry,Taxonomy
ROSE,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
RSR,dApp,Infrastructure,FinancialServices,UtilityToken
RUNE,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
SAFE,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
SEI,dApp,Infrastructure,DeFi,UtilityToken
SFP,dApp,Infrastructure,WalletServices,UtilityToken
SHIB,dApp,MediaEntertainment,Gambling,MemeCoin
SNX,dApp,DeFi,Derivatives,UtilityToken
SOL,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
STX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
SUI,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
SUPER,dApp,Infrastructure,MediaEntertainment,UtilityToken
TAO,dApp,Infrastructure,DataAnalytics,UtilityToken
TFUEL,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
THETA,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
TON,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
TRVL,dApp,Infrastructure,Travel,UtilityToken
TRX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
TURBO,dApp,Infrastructure,DeFi,UtilityToken
TWT,dApp,Infrastructure,WalletServices,UtilityToken
UNI,dApp,Infrastructure,DeFi,UtilityToken
VET,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
WEMIX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
WLD,Tokenization,Infrastructure,Tokenization,DerivativeToken
XDC,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
XEC,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
XLM,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
XMR,PaymentPlatform,Infrastructure,PrivacyPreserving,Cryptocurrency
XRP,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
ZEC,PaymentPlatform,Infrastructure,PrivacyPreserving,Cryptocurrency

